orig.order,coral,BWg,CLmm,CWmm,Hmm,BLmm,areaIJmm2,Rmm,volCALCmm3,areaCALCmm2,comments
1,101,0.28,11.3,9.4,9.3,8.4,80.166,5.175,644.285479,83.42499292,
2,138,0.18,8.4,7,8,7.1,43.907,3.85,344.255723,46.18141201,
3,106,0.69,9.3,7.7,10.8,6.5,58.613,4.25,479.9568177,56.24236248,glued base
4,107,0.69,11,8,8.2,5.9,72.996,4.75,388.7987944,69.11503838,glued base
5,118,0.32,10.7,9,9.8,6.1,72.897,4.925,498.5475849,75.63384314,
6,131,0.16,8.2,6.7,8.3,6,52.105,3.725,295.9591683,43.1497751,
7,100,0.22,10.1,8.1,9.8,7,59.473,4.55,501.6071034,64.25342375,chipped oral disk
8,97,0.16,8.1,6.8,9,3.9,42.146,3.725,235.0716338,43.25973084,
9,108,0.72,9.7,7.3,10.2,6.2,54.289,4.25,436.3091001,55.61404395,glued base
10,104,0.15,8.3,6.6,7,6.6,44.527,3.725,271.6502443,43.02411139,
11,102,0.2,9.2,8,7.9,6.1,58.551,4.3,338.4220472,57.80530483,
12,98,0.13,8.7,7.3,5.3,7.4,49.126,4,246.926041,49.88063736,
13,94,0.05,6,5.3,4.6,6,24.936,2.825,122.6225136,24.9756616,
14,110,0.06,6.9,6.3,4.2,6.8,36.207,3.3,148.0883945,34.14125816,
15,99,0.09,8.1,7.7,4.5,7.6,40.574,3.95,212.3049045,48.98528345,
16,83,0.1,8.5,6.6,7.7,6,42.42,3.775,278.7978257,44.06083697,
17,17,0.31,11,8,9.8,7.9,67.145,4.75,584.2205182,69.11503838,
18,57,0.15,8.5,7.2,9,7,49.985,3.925,390.1210122,48.0663676,
19,74,0.23,10.3,7.6,10,6.8,65.187,4.475,490.0949989,61.48096823,
20,21,0.27,10.3,7.6,8.5,9.7,66.032,4.475,580.8186315,61.48096823,
21,5,0.29,10,8.8,10.2,8.1,68.743,4.7,614.4751027,69.11503838,
22,55,0.19,10.5,7.8,7.5,7,59.652,4.575,386.3619003,64.32410958,
23,8,0.16,8.8,6.1,7.4,6.4,49.227,3.725,279.2494951,42.16017341,
24,28,0.33,11.7,9.3,9.6,7.1,89.564,5.25,591.1472064,85.45917416,
25,3,0.38,11.1,8.1,12.6,6.7,76.558,4.8,664.2536383,70.61514887,
26,88,0.18,9.6,7.6,7.9,6.6,56.397,4.3,360.4485387,57.30265,
27,19,0.21,9.2,7.2,10,6.1,51.665,4.1,404.4015143,52.02477434,
28,42,0.2,9.2,7.2,10.1,6.7,52.97,4.1,441.7621196,52.02477434,
29,25,0.26,10.2,8.1,8.6,9.4,65.373,4.575,581.0887431,64.88959626,
30,61,0.33,10.4,8.2,11.4,8.2,63.896,4.65,686.4081497,66.97875537,
31,2,0.24,9.7,8.3,10,8.3,68.155,4.5,587.9752451,63.23240614,bit of rock attached
32,11,0.16,9,7.4,8.7,5.2,49.699,4.1,311.8564779,52.30751768,
33,31,0.18,8.3,7.5,9.4,6.4,46.597,3.95,378.8085298,48.89103567,
34,1,0.23,11,8.2,8.6,8.4,64.767,4.8,547.9188915,70.84291434,
35,40,0.27,10.6,8,8.9,7.7,72.407,4.65,506.5218633,66.60176426,
36,39,0.21,9.4,7,8.3,8,52.218,4.1,427.7205094,51.67919915,
37,46,0.44,11.5,8.7,13.6,6.2,77.828,5.05,723.0249829,78.57908625,
38,9,0.37,11.2,9.2,10.1,7,74.727,5.1,593.4583714,80.92742676,
39,90,0.13,7,7.7,7.4,5.6,35.471,3.675,245.1527428,42.33296101,
40,4,0.22,9.4,7.5,10.5,4.6,55.661,4.225,361.2939544,55.37057052,
41,6,0.29,10,8.5,9.5,6.4,73.076,4.625,461.9093496,66.75884389,
42,10,0.34,10.4,8.7,12.2,7.4,67.527,4.775,691.9139217,71.06282582,
43,45,0.19,8.3,7,8.6,6.4,46.112,3.825,334.2145384,45.63163329,
44,22,0.41,11.1,8.4,12.1,8.6,77.416,4.875,801.0425749,73.23052476,
45,60,0.27,8.8,7.1,11.2,6,46.849,3.975,430.7406271,49.07167725,
46,41,0.15,9.4,7.5,8,7.2,54.87,4.225,385.5414864,55.37057052,
47,92,0.17,7.6,6.5,7.6,7.7,39.679,3.525,324.8692165,38.79866927,
48,91,0.12,8,7,7.6,6.9,43.746,3.75,309.6133808,43.98229715,
49,62,0.19,10.4,8.2,8.3,7.2,67.354,4.65,446.0818095,66.97875537,
50,33,0.32,12,9.2,10.1,6.7,86.131,5.3,603.5855572,86.70795724,
