Age_x,lx,Volume,Vol.mid,mx.coral,r,areaCALC,areaREGR
0,1,10,5,0,0.926680545,0.026978013,0.044728052
0.5,0.288,10-50,30,0,1.683890301,0.089079437,0.125543754
1,0.173,50-100,75,0.1,2.285390749,0.164085726,0.212818096
1.5,0.134,100-150,125,0.9,2.709630351,0.230658769,0.285623169
2,0.076,150-200,175,3.1,3.03123351,0.288661364,0.346707457
2.5,0.057,200-250,225,4.8,3.296103825,0.341312064,0.400710199
3,0.051,250-300,275,7.7,3.524122058,0.390168098,0.449809784
3.5,0.044,300-350,325,9.6,3.725928337,0.436132919,0.4952427
4,0.032,350-400,375,11.1,3.907963209,0.479789573,0.537793163
4.5,0.025,400-450,425,12.7,4.074456516,0.521541951,0.577996608
5,0.019,450-500,475,14.9,4.2283531,0.561684406,0.61623844
5.5,0.007,500-550,525,16.1,4.371795228,0.600439834,0.652807334
6,0.005,550-600,575,17.2,4.506395717,0.637982144,0.68792635
6.5,0.003,600-650,625,18.5,4.633402724,0.674450331,0.72177221
7,0.001,650-700,675,20.2,4.753804326,0.709957703,0.754487831
