quad,quad1,tran,era,density,year,census,logDens,densM,recruitMfinal
SC1_54,SC1_54,SC1,modern,26,2007,Initial,3.295836866,288.8888889,NA
SC1_62,SC1_62,SC1,modern,7,2007,Initial,2.079441542,77.77777778,NA
SC1_63,SC1_63,SC1,modern,9,2007,Initial,2.302585093,100,NA
SC1_64,SC1_64,SC1,modern,2,2007,Initial,1.098612289,22.22222222,NA
SC4_36,SC4_36,SC4,modern,8,2007,Initial,2.197224577,88.88888889,NA
SC4_45,SC4_45,SC4,modern,4,2007,Initial,1.609437912,44.44444444,NA
SC4_51,SC4_51,SC4,modern,1,2007,Initial,0.693147181,11.11111111,NA
SC4_52,SC4_52,SC4,modern,0,2007,Initial,0,0,NA
SC5_34,SC5_34,SC5,modern,10,2007,Initial,2.397895273,111.1111111,NA
SC5_47,SC5_47,SC5,modern,9,2007,Initial,2.302585093,100,NA
SC5_49,SC5_49,SC5,modern,9,2007,Initial,2.302585093,100,NA
SC5_50,SC5_50,SC5,modern,20,2007,Initial,3.044522438,222.2222222,NA
SC6_14,SC6_14,SC6,modern,0,2007,Initial,0,0,NA
SC6_18,SC6_18,SC6,modern,3,2007,Initial,1.386294361,33.33333333,NA
SC6_21,SC6_21,SC6,modern,13,2007,Initial,2.63905733,144.4444444,NA
SC6_33,SC6_33,SC6,modern,1,2007,Initial,0.693147181,11.11111111,NA
SC7_2,SC7_2,SC7,modern,10,2007,Initial,2.397895273,111.1111111,NA
SC7_3,SC7_3,SC7,modern,10,2007,Initial,2.397895273,111.1111111,NA
SC7_4,SC7_4,SC7,modern,10,2007,Initial,2.397895273,111.1111111,NA
SC7_5,SC7_5,SC7,modern,5,2007,Initial,1.791759469,55.55555556,NA
SC8_37,SC8_37,SC8,modern,0,2007,Initial,0,0,NA
SC8_38,SC8_38,SC8,modern,22,2007,Initial,3.135494216,244.4444444,NA
SC8_39,SC8_39,SC8,modern,0,2007,Initial,0,0,NA
SC8_40,SC8_40,SC8,modern,0,2007,Initial,0,0,NA
SC1_54,SC1_54,SC1,modern,34,2008,NA,3.555348061,377.7777778,NA
SC1_62,SC1_62,SC1,modern,8,2008,NA,2.197224577,88.88888889,NA
SC1_63,SC1_63,SC1,modern,8,2008,NA,2.197224577,88.88888889,NA
SC1_64,SC1_64,SC1,modern,2,2008,NA,1.098612289,22.22222222,NA
SC4_36,SC4_36,SC4,modern,6,2008,NA,1.945910149,66.66666667,NA
SC4_45,SC4_45,SC4,modern,4,2008,NA,1.609437912,44.44444444,NA
SC4_51,SC4_51,SC4,modern,1,2008,NA,0.693147181,11.11111111,NA
SC4_52,SC4_52,SC4,modern,0,2008,NA,0,0,NA
SC5_34,SC5_34,SC5,modern,11,2008,NA,2.48490665,122.2222222,NA
SC5_47,SC5_47,SC5,modern,10,2008,NA,2.397895273,111.1111111,NA
SC5_49,SC5_49,SC5,modern,4,2008,NA,1.609437912,44.44444444,NA
SC5_50,SC5_50,SC5,modern,14,2008,NA,2.708050201,155.5555556,NA
SC6_14,SC6_14,SC6,modern,0,2008,NA,0,0,NA
SC6_18,SC6_18,SC6,modern,3,2008,NA,1.386294361,33.33333333,NA
SC6_21,SC6_21,SC6,modern,12,2008,NA,2.564949357,133.3333333,NA
SC6_33,SC6_33,SC6,modern,1,2008,NA,0.693147181,11.11111111,NA
SC7_2,SC7_2,SC7,modern,5,2008,NA,1.791759469,55.55555556,NA
SC7_3,SC7_3,SC7,modern,10,2008,NA,2.397895273,111.1111111,NA
SC7_4,SC7_4,SC7,modern,13,2008,NA,2.63905733,144.4444444,NA
SC7_5,SC7_5,SC7,modern,4,2008,NA,1.609437912,44.44444444,NA
SC8_37,SC8_37,SC8,modern,0,2008,NA,0,0,NA
SC8_38,SC8_38,SC8,modern,35,2008,NA,3.583518938,388.8888889,NA
SC8_39,SC8_39,SC8,modern,0,2008,NA,0,0,NA
SC8_40,SC8_40,SC8,modern,0,2008,NA,0,0,NA
SC1_54,SC1_54,SC1,modern,36,2009,NA,3.610917913,400,NA
SC1_62,SC1_62,SC1,modern,11,2009,NA,2.48490665,122.2222222,NA
