quad,tran,dens07,dens08,dens09,dens10
SC1_54,SC1,26,34,36,40
SC1_62,SC1,7,8,11,11
SC1_63,SC1,9,8,12,11
SC1_64,SC1,2,2,2,2
SC4_36,SC4,8,6,7,9
SC4_45,SC4,4,4,4,3
SC4_51,SC4,1,1,1,1
SC4_52,SC4,0,0,0,0
SC5_34,SC5,10,11,13,14
SC5_47,SC5,9,10,13,11
SC5_49,SC5,9,4,12,7
SC5_50,SC5,20,14,18,17
SC6_14,SC6,0,0,0,0
SC6_18,SC6,3,3,3,3
SC6_21,SC6,13,12,11,10
SC6_33,SC6,1,1,1,1
SC7_2,SC7,10,5,11,8
SC7_3,SC7,10,10,10,10
SC7_4,SC7,10,13,14,15
SC7_5,SC7,5,4,6,7
SC8_37,SC8,0,0,0,0
SC8_38,SC8,22,35,48,43
SC8_39,SC8,0,0,0,0
SC8_40,SC8,0,0,0,0
