orig.order,quad1,quad,time,dates,ini.date,fin.date,elap.yr,site,coral,ID,Coral,ini.area,ini.perim,ini.feret,ini.notes,Coral,fin.area,fin.perim,fin.feret,fin.notes,tran
1,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,1,A1,1,0.759,3.176,1.084,,1,0.894,3.447,1.167,,A
2,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,2,A2,2,0.616,2.878,1.001,,2,0.6,2.861,0.987,overgrown,A
3,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,3,A3,3,0.694,3.094,1.127,,3,0.779,3.225,1.139,,A
4,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,4,A4,4,0.596,2.812,0.939,,4,0.637,2.906,1,,A
5,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,5,A5,5,0.636,2.919,1.013,,5,0.56,2.774,1.008,angle,A
6,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,6,A6,6,0.677,3.022,1.057,,6,0.944,3.55,1.2,,A
7,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,7,A7,7,0.504,2.591,0.886,,7,0.73,3.122,1.039,,A
8,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,8,A8,8,0.727,3.169,1.142,,8,0.004,0.498,0.246,nv,A
9,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,9,A9,9,0.597,2.861,1.021,,9,0.004,0.498,0.246,nv,A
10,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,10,A10,10,0.925,3.492,1.171,,10,0.866,3.397,1.138,,A
11,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,11,A11,11,0.412,2.33,0.789,,11,0.697,3.054,1.058,,A
12,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,12,A12,12,0.379,2.284,0.785,,12,0.631,2.912,1.015,,A
13,A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,13,A13,13,0.127,1.308,0.456,,13,0.001,0.673,0.332,gone,A
14,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,1,B1,1,0.407,2.321,0.771,,1,0.487,2.578,0.902,angle,B
15,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,2,B2,2,0.702,3.058,1.051,,2,0.642,2.926,1.036,,B
16,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,3,B3,3,0.312,2.035,0.677,,3,0.316,2.062,0.715,,B
17,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,4,B4,4,0.317,2.055,0.722,nv,4,0.366,2.219,0.761,,B
18,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,5,B5,5,0.76,3.19,1.089,,5,0.763,3.221,1.135,,B
19,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,6,B6,6,0.261,1.867,0.62,,6,0.321,2.059,0.682,,B
20,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,7,B7,7,1.669,4.708,1.603,,7,1.574,4.624,1.577,,B
21,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,8,B8,8,0.981,3.634,1.287,nv,8,1.136,3.898,1.376,angle,B
22,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,9,B9,9,0.175,1.52,0.532,,9,0.394,2.286,0.791,,B
