row,quad,date,date.no,coral.id,coral.no,area,perim,feret,feretx,ferety,feretangle,minferet,code,sizeOK,surv,growth,recruit,other.notes
1,SC1_54,10-Dec-07,39426,SC1_54_1,1,0.683,NA,1.05,NA,NA,128.454,0.862,,1,1,1,0,
2,SC1_54,10-Dec-07,39426,SC1_54_2,2,0.252,NA,0.664,NA,NA,169.509,0.471,,1,1,1,0,
3,SC1_54,10-Dec-07,39426,SC1_54_3,3,0.391,NA,0.783,NA,NA,128.108,0.658,,1,1,1,0,
4,SC1_54,10-Dec-07,39426,SC1_54_4,4,0.445,NA,0.825,NA,NA,121.827,0.725,,1,1,1,0,
5,SC1_54,10-Dec-07,39426,SC1_54_5,5,0.218,NA,0.61,NA,NA,97.97,0.455,,1,1,1,0,
6,SC1_54,10-Dec-07,39426,SC1_54_6,6,0.2,NA,0.576,NA,NA,99.66,0.459,,1,1,1,0,
7,SC1_54,10-Dec-07,39426,SC1_54_7,7,0.489,NA,0.95,NA,NA,126.724,0.698,angle,0,1,0,0,
8,SC1_54,10-Dec-07,39426,SC1_54_8,8,0.507,NA,0.87,NA,NA,80.407,0.778,angle,0,1,0,0,
9,SC1_54,10-Dec-07,39426,SC1_54_9,9,0.453,NA,0.933,NA,NA,41.326,0.614,angle,0,1,0,0,
10,SC1_54,10-Dec-07,39426,SC1_54_10,10,0.245,NA,0.593,NA,NA,11.768,0.544,angle,0,1,0,0,
11,SC1_54,10-Dec-07,39426,SC1_54_11,11,0.426,NA,0.88,NA,NA,159.075,0.612,angle,0,1,0,0,
12,SC1_54,10-Dec-07,39426,SC1_54_12,12,0.542,NA,0.892,NA,NA,122.829,0.817,,1,1,1,0,
13,SC1_54,10-Dec-07,39426,SC1_54_13,13,0.294,NA,0.661,NA,NA,149.216,0.58,,1,1,1,0,
14,SC1_54,10-Dec-07,39426,SC1_54_14,14,0.682,NA,0.985,NA,NA,60.604,0.899,,1,1,1,0,
15,SC1_54,10-Dec-07,39426,SC1_54_15,15,0.072,NA,0.341,NA,NA,62.526,0.278,,1,1,1,0,
16,SC1_54,10-Dec-07,39426,SC1_54_16,16,0.046,NA,0.268,NA,NA,54.162,0.23,,1,1,1,0,
17,SC1_54,10-Dec-07,39426,SC1_54_17,17,0.063,NA,0.305,NA,NA,123.69,0.278,,1,1,1,0,
18,SC1_54,10-Dec-07,39426,SC1_54_18,18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
19,SC1_54,10-Dec-07,39426,SC1_54_19,19,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
20,SC1_54,10-Dec-07,39426,SC1_54_20,20,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
21,SC1_54,10-Dec-07,39426,SC1_54_21,21,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
22,SC1_54,10-Dec-07,39426,SC1_54_22,22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
23,SC1_54,10-Dec-07,39426,SC1_54_23,23,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
24,SC1_54,10-Dec-07,39426,SC1_54_24,24,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
25,SC1_54,10-Dec-07,39426,SC1_54_25,25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
26,SC1_54,10-Dec-07,39426,SC1_54_26,26,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
27,SC1_54,10-Dec-07,39426,SC1_54_27,27,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
28,SC1_54,10-Dec-07,39426,SC1_54_28,28,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
29,SC1_54,10-Dec-07,39426,SC1_54_29,29,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
30,SC1_54,10-Dec-07,39426,SC1_54_30,30,0.164,NA,0.617,34.546,20.336,123.389,0.339,angle,0,1,0,0,
31,SC1_54,10-Dec-07,39426,SC1_54_31,31,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
32,SC1_54,10-Dec-07,39426,SC1_54_32,32,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
33,SC1_54,10-Dec-07,39426,SC1_54_33,33,0.199,NA,0.649,29.356,22.96,16.798,0.375,angle,0,1,0,0,
34,SC1_54,10-Dec-07,39426,SC1_54_34,34,0.127,NA,0.563,28.524,23.007,12.011,0.293,angle,0,1,0,0,
35,SC1_54,10-Dec-07,39426,SC1_54_35,35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
36,SC1_54,10-Dec-07,39426,SC1_54_36,36,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
37,SC1_54,10-Dec-07,39426,SC1_54_37,37,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
38,SC1_54,10-Dec-07,39426,SC1_54_38,38,0.364,NA,0.775,31.547,14.057,159.647,0.639,algae,0,1,0,0,
39,SC1_54,10-Dec-07,39426,SC1_54_39,39,0.304,NA,0.807,33.269,8.411,152.319,0.501,angle,0,1,0,0,
40,SC1_54,10-Dec-07,39426,SC1_54_40,40,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
41,SC1_54,10-Dec-07,39426,SC1_54_41,41,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
42,SC1_54,10-Dec-07,39426,SC1_54_42,42,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
43,SC1_54,10-Dec-07,39426,SC1_54_43,43,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
44,SC1_54,10-Dec-07,39426,SC1_54_44,44,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
45,SC1_54,10-Dec-07,39426,SC1_54_45,45,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
46,SC1_54,10-Dec-07,39426,SC1_54_46,46,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
47,SC1_54,10-Dec-07,39426,SC1_54_47,47,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
48,SC1_54,10-Dec-07,39426,SC1_54_48,48,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
49,SC1_54,10-Dec-07,39426,SC1_54_49,49,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
50,SC1_54,10-Dec-07,39426,SC1_54_50,50,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
51,SC1_54,10-Dec-07,39426,SC1_54_51,51,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,
52,SC1_54,10-Dec-07,39426,SC1_54_a,a,0.044,NA,0.257,18.919,1.827,59.931,0.224,,1,1,1,0,corals near the frame top that aren't seen in later years
53,SC1_54,10-Dec-07,39426,SC1_54_b,b,0.111,NA,0.526,13.659,1.663,101.56,0.281,,1,1,1,0,corals near the frame top that aren't seen in later years
54,SC1_54,10-Dec-07,39426,SC1_54_c,c,0.063,NA,0.301,13.483,2.589,103.496,0.269,,1,1,1,0,corals near the frame top that aren't seen in later years
55,SC1_54,10-Dec-07,39426,SC1_54_d,d,0.055,NA,0.317,8.516,3.093,128.991,0.243,,1,1,1,0,corals near the frame top that aren't seen in later years
56,SC1_54,15-Dec-08,39797,SC1_54_1,1,7.22E-04,NA,0.162,7.139,2.356,41.987,0.014,nv,0,NA,0,0,
57,SC1_54,15-Dec-08,39797,SC1_54_2,2,0.241,NA,0.601,8.569,4.435,160.115,0.518,,1,1,1,0,
58,SC1_54,15-Dec-08,39797,SC1_54_3,3,0.617,NA,1,9.578,8.569,128.66,0.833,,1,1,1,0,
59,SC1_54,15-Dec-08,39797,SC1_54_4,4,0.404,NA,0.825,13.16,15.648,106.06,0.661,,1,1,1,0,
60,SC1_54,15-Dec-08,39797,SC1_54_5,5,0.232,NA,0.622,13.196,14.951,100.008,0.493,,1,1,1,0,
61,SC1_54,15-Dec-08,39797,SC1_54_6,6,0.282,NA,0.644,18.183,17.246,104.036,0.577,,1,1,1,0,
62,SC1_54,15-Dec-08,39797,SC1_54_7,7,0.565,NA,1.078,18.436,15.587,120.854,0.659,angle,0,1,0,0,
63,SC1_54,15-Dec-08,39797,SC1_54_8,8,0.588,NA,1.018,19.169,15.299,112.932,0.784,,1,1,1,0,
64,SC1_54,15-Dec-08,39797,SC1_54_9,9,0.638,NA,1.038,21.873,26.031,52.997,0.796,,1,1,1,0,
65,SC1_54,15-Dec-08,39797,SC1_54_10,10,0.29,NA,0.651,27.245,20.719,52.496,0.589,,1,1,1,0,
66,SC1_54,15-Dec-08,39797,SC1_54_11,11,0.543,NA,0.948,28.062,20.948,171.254,0.744,,1,1,1,0,
67,SC1_54,15-Dec-08,39797,SC1_54_12,12,0.595,NA,0.963,28.976,21.428,119.124,0.829,,1,1,1,0,
68,SC1_54,15-Dec-08,39797,SC1_54_13,13,0.33,NA,0.731,24.433,3.69,154.699,0.6,,1,1,1,0,
69,SC1_54,15-Dec-08,39797,SC1_54_14,14,7.22E-04,NA,0.12,27.401,1.899,36.87,0.01,nv,0,NA,0,0,
70,SC1_54,15-Dec-08,39797,SC1_54_15,15,NA,NA,NA,NA,NA,NA,NA,nv,0,NA,0,0,
71,SC1_54,15-Dec-08,39797,SC1_54_16,16,NA,NA,NA,NA,NA,NA,NA,nv,0,NA,0,0,
72,SC1_54,15-Dec-08,39797,SC1_54_17,17,NA,NA,NA,NA,NA,NA,NA,nv,0,NA,0,0,
73,SC1_54,15-Dec-08,39797,SC1_54_18,18,0.088,NA,0.361,9.458,17.691,126.87,0.324,recruit,1,1,1,1,
74,SC1_54,15-Dec-08,39797,SC1_54_19,19,0.12,NA,0.409,27.594,21.296,155.695,0.385,recruit,1,1,1,1,
75,SC1_54,15-Dec-08,39797,SC1_54_20,20,0.1,NA,0.373,25.514,21.909,146.821,0.349,recruit,1,1,1,1,
76,SC1_54,15-Dec-08,39797,SC1_54_21,21,0.055,NA,0.28,29.12,12.403,149.036,0.264,recruit,1,1,1,1,
77,SC1_54,15-Dec-08,39797,SC1_54_22,22,0.185,NA,0.522,20.707,26.356,156.975,0.476,,1,1,1,0,
78,SC1_54,15-Dec-08,39797,SC1_54_23,23,0.418,NA,0.867,20.275,25.466,169.624,0.622,angle,0,1,0,0,
79,SC1_54,15-Dec-08,39797,SC1_54_24,24,0.173,NA,0.533,26.272,27.221,14.349,0.433,,1,1,1,0,
80,SC1_54,15-Dec-08,39797,SC1_54_25,25,0.478,NA,1.025,25.839,26.067,169.875,0.632,angle,0,1,0,0,
81,SC1_54,15-Dec-08,39797,SC1_54_26,26,0.145,NA,0.479,28.423,25.839,128.884,0.414,,1,1,1,0,
82,SC1_54,15-Dec-08,39797,SC1_54_27,27,0.1,NA,0.414,31.475,26.548,119.539,0.337,,1,1,1,0,
83,SC1_54,15-Dec-08,39797,SC1_54_28,28,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,missing #
84,SC1_54,15-Dec-08,39797,SC1_54_29,29,0.147,NA,0.577,36.475,21.657,167.989,0.328,angle,0,1,0,0,
85,SC1_54,15-Dec-08,39797,SC1_54_30,30,0.341,NA,0.857,34.516,20.996,157.751,0.509,angle,0,1,0,0,
86,SC1_54,15-Dec-08,39797,SC1_54_31,31,0.2,NA,0.68,33.398,21.392,17.475,0.397,angle,0,1,0,0,
87,SC1_54,15-Dec-08,39797,SC1_54_32,32,0.127,NA,0.517,29.961,23.111,35.538,0.318,angle,0,1,0,0,
88,SC1_54,15-Dec-08,39797,SC1_54_33,33,0.431,NA,0.846,29.132,23.363,11.47,0.637,angle,0,1,0,0,
89,SC1_54,15-Dec-08,39797,SC1_54_34,34,0.328,NA,0.792,28.219,23.652,9.605,0.529,angle,0,1,0,0,
90,SC1_54,15-Dec-08,39797,SC1_54_35,35,0.266,NA,0.702,24.938,23.88,6.882,0.493,angle,0,1,0,0,
91,SC1_54,15-Dec-08,39797,SC1_54_36,36,0.269,NA,0.771,24.313,23.351,149.036,0.441,angle,0,1,0,0,
92,SC1_54,15-Dec-08,39797,SC1_54_37,37,0.239,NA,0.698,24.12,22.089,132.207,0.454,angle,0,1,0,0,
93,SC1_54,15-Dec-08,39797,SC1_54_38,38,0.65,NA,1.038,30.069,12.667,20.323,0.825,,1,1,1,0,
94,SC1_54,15-Dec-08,39797,SC1_54_39,39,0.459,NA,0.854,30.899,6.382,170.272,0.697,angle,0,1,0,0,
95,SC1_54,15-Dec-08,39797,SC1_54_40,40,0.458,NA,0.808,36.475,17.522,11.143,0.733,,1,1,1,0,
96,SC1_54,13-Dec-09,40160,SC1_54_1,1,0.001,NA,0.092,8.074,2.359,23.199,3.18E-04,nv,0,NA,0,0,
97,SC1_54,13-Dec-09,40160,SC1_54_2,2,0.152,NA,0.465,9.338,4.38,100.437,0.421,,1,1,1,0,
98,SC1_54,13-Dec-09,40160,SC1_54_3,3,0.576,NA,0.981,10.096,8.712,150.604,0.774,,1,1,1,0,
99,SC1_54,13-Dec-09,40160,SC1_54_4,4,0.417,NA,0.792,13.79,16.161,48.077,0.679,angle,0,1,0,0,
100,SC1_54,13-Dec-09,40160,SC1_54_5,5,0.25,NA,0.675,13.694,15.379,68.009,0.469,angle,0,1,0,0,
101,SC1_54,13-Dec-09,40160,SC1_54_6,6,0.376,NA,0.76,18.857,17.593,60.593,0.66,,1,1,1,0,
102,SC1_54,13-Dec-09,40160,SC1_54_7,7,0.598,NA,1.066,19.169,15.222,115.408,0.748,angle,0,1,0,0,
103,SC1_54,13-Dec-09,40160,SC1_54_8,8,0.665,NA,1.119,19.988,14.801,108.825,0.801,,1,1,1,0,
104,SC1_54,13-Dec-09,40160,SC1_54_9,9,0.774,NA,1.124,22.948,25.728,46.736,0.942,,1,1,1,0,
105,SC1_54,13-Dec-09,40160,SC1_54_10,10,0.427,NA,0.782,28.086,19.976,14.25,0.721,,1,1,1,0,
106,SC1_54,13-Dec-09,40160,SC1_54_11,11,0.608,NA,1.013,29.025,20.481,9.574,0.77,,1,1,1,0,
107,SC1_54,13-Dec-09,40160,SC1_54_12,12,0.827,NA,1.115,29.988,20.722,122.661,0.983,,1,1,1,0,
108,SC1_54,13-Dec-09,40160,SC1_54_13,13,0.333,NA,0.702,24.789,3.213,149.036,0.622,,1,1,1,0,
109,SC1_54,13-Dec-09,40160,SC1_54_14,14,5.79E-04,NA,0.178,26.991,1.48,28.301,0.007,nv,0,NA,0,0,
110,SC1_54,13-Dec-09,40160,SC1_54_15,15,0.003,NA,0.456,15.006,14.512,12.2,0.018,nv,0,NA,0,0,
111,SC1_54,13-Dec-09,40160,SC1_54_16,16,0.002,NA,0.35,15.415,14.2,15.945,0.015,nv,0,NA,0,0,
112,SC1_54,13-Dec-09,40160,SC1_54_17,17,0.001,NA,0.248,7.365,14.248,14.036,0.016,nv,0,NA,0,0,
113,SC1_54,13-Dec-09,40160,SC1_54_18,18,0.073,NA,0.35,10.313,17.665,139.185,0.285,,1,1,1,0,
114,SC1_54,13-Dec-09,40160,SC1_54_19,19,0.238,NA,0.614,28.64,20.517,131.82,0.509,,1,1,1,0,
115,SC1_54,13-Dec-09,40160,SC1_54_20,20,0.232,NA,0.587,26.426,21.564,15.461,0.529,,1,1,1,0,
116,SC1_54,13-Dec-09,40160,SC1_54_21,21,0.173,NA,0.515,29.651,11.54,142.595,0.441,,1,1,1,0,
117,SC1_54,13-Dec-09,40160,SC1_54_22,22,0.265,NA,0.635,21.901,25.896,114.624,0.554,,1,1,1,0,
118,SC1_54,13-Dec-09,40160,SC1_54_23,23,0.522,NA,0.932,21.396,25.054,151.449,0.717,,1,1,1,0,
119,SC1_54,13-Dec-09,40160,SC1_54_24,24,1.45E-04,NA,0.065,28.471,26.811,68.199,0.005,nv,0,NA,0,0,
120,SC1_54,13-Dec-09,40160,SC1_54_25,25,0.452,NA,0.873,27.16,25.944,15.186,0.674,angle,0,1,0,0,
121,SC1_54,13-Dec-09,40160,SC1_54_26,26,0.196,NA,0.537,29.687,25.379,124.046,0.477,,1,1,1,0,
122,SC1_54,13-Dec-09,40160,SC1_54_27,27,0.206,NA,0.598,32.719,25.992,139.899,0.464,,1,1,1,0,
123,SC1_54,13-Dec-09,40160,SC1_54_28,28,0.001,NA,0.231,36.474,21.865,51.34,0.01,NA,0,NA,0,0,missing #
124,SC1_54,13-Dec-09,40160,SC1_54_29,29,5.79E-04,NA,0.231,37.244,21.42,38.66,0.013,nv,0,NA,0,0,
125,SC1_54,13-Dec-09,40160,SC1_54_30,30,0.277,NA,0.732,35.812,20.276,154.699,0.484,angle,0,1,0,0,
