orig.order,coral.id,quadOriginal,area,feret,recruitCode,tran,originalData,time,quad
1,SC1_54_18,SC1_54,0.085,0.369,recruit,SC1,original,present,SC1_54
2,SC1_54_19,SC1_54,0.241,0.626,recruit,SC1,original,present,SC1_54
3,SC1_54_20,SC1_54,0.258,0.687,recruit,SC1,original,present,SC1_54
4,SC1_54_21,SC1_54,0.265,0.63,recruit,SC1,original,present,SC1_54
5,SC1_54_41,SC1_54,0.323,0.798,recruit,SC1,original,present,SC1_54
6,SC1_54_44,SC1_54,0.257,0.643,recruit,SC1,original,present,SC1_54
7,SC1_54_45,SC1_54,0.175,0.53,recruit,SC1,original,present,SC1_54
8,SC1_54_46,SC1_54,0.05,0.282,recruit,SC1,original,present,SC1_54
9,SC1_54_50,SC1_54,0.04,0.269,recruit,SC1,original,present,SC1_54
10,SC1_54_51,SC1_54,0.044,0.262,recruit,SC1,original,present,SC1_54
11,SC1_62_10,SC1_62,0.234,0.607,recruit,SC1,original,present,SC1_62
12,SC1_62_14,SC1_62,0.081,0.353,recruit,SC1,original,present,SC1_62
13,SC1_63_12,SC1_63,0.16,0.527,recruit,SC1,original,present,SC1_63
14,SC1_64_3,SC1_64,0.383,0.752,recruit,SC1,original,present,SC1_64
15,SC4_36_10,SC4_36,0.055,0.291,recruit,SC4,original,present,SC4_36
16,SC4_36_11,SC4_36,0.143,0.472,recruit,SC4,original,present,SC4_36
17,SC5_34_13,SC5_34,0.255,0.63,recruit,SC5,original,present,SC5_34
18,SC5_34_14,SC5_34,0.099,0.387,recruit,SC5,original,present,SC5_34
19,SC5_34_16,SC5_34,0.078,0.344,recruit,SC5,original,present,SC5_34
20,SC5_34_17,SC5_34,0.081,0.361,recruit,SC5,original,present,SC5_34
21,SC5_47_14,SC5_47,0.069,0.326,recruit,SC5,original,present,SC5_47
22,SC5_47_15,SC5_47,0.145,0.506,recruit,SC5,original,present,SC5_47
23,SC5_49_10,SC5_49,0.16,0.483,recruit,SC5,original,present,SC5_49
24,SC5_49_9,SC5_49,0.121,0.443,recruit,SC5,original,present,SC5_49
25,SC5_50_29,SC5_50,0.285,0.646,recruit,SC5,original,present,SC5_50
26,SC6_18_4,SC6_18,0.26,0.613,recruit,SC6,original,present,SC6_18
27,SC7_2_11,SC7_2,0.093,0.393,recruit,SC7,original,present,SC7_2
28,SC7_3_11,SC7_3,0.084,0.374,recruit,SC7,original,present,SC7_3
29,SC7_4_12,SC7_4,0.134,0.442,recruit,SC7,original,present,SC7_4
30,SC7_4_13,SC7_4,0.148,0.477,recruit,SC7,original,present,SC7_4
31,SC7_4_14,SC7_4,0.068,0.324,recruit,SC7,original,present,SC7_4
32,SC7_5_10,SC7_5,0.08,0.355,recruit,SC7,original,present,SC7_5
33,SC8_38_25,SC8_38,0.184,0.538,recruit,SC8,original,present,SC8_38
34,SC8_38_27,SC8_38,0.257,0.609,recruit,SC8,original,present,SC8_38
35,SC8_38_28,SC8_38,0.104,0.394,recruit,SC8,original,present,SC8_38
36,SC8_38_29,SC8_38,0.239,0.621,recruit,SC8,original,present,SC8_38
37,SC8_38_30,SC8_38,0.179,0.507,recruit,SC8,original,present,SC8_38
38,SC8_38_32,SC8_38,0.145,0.477,recruit,SC8,original,present,SC8_38
39,SC8_38_33,SC8_38,0.205,0.558,recruit,SC8,original,present,SC8_38
40,SC8_38_51,SC8_38,0.068,0.331,recruit,SC8,original,present,SC8_38
41,B1_43,B1_,0.2,0.539,recruit,B,original,past,B
42,B1_44,B1_,0.194,0.572,recruit,B,original,past,B
43,B1_45,B1_,0.134,0.487,recruit,B,original,past,B
44,B1_47,B1_,0.094,0.426,recruit,B,new,past,B
45,B1_48,B1_,0.079,0.358,recruit,B,new,past,B
46,B2_49,B2_,0.246,0.621,recruit,B,original,past,B
47,B2_53,B2_,0.065,0.329,recruit,B,original,past,B
48,B2_54,B2_,0.088,0.382,recruit,B,original,past,B
49,B2_56,B2_,0.148,0.462,recruit,B,original,past,B
50,B2_57,B2_,0.165,0.491,recruit,B,original,past,B
51,B2_58,B2_,0.208,0.573,recruit,B,new,past,B
52,B3_34,B3_,0.239,0.666,recruit,B,original,past,B
53,B3_35,B3_,0.169,0.506,recruit,B,original,past,B
54,B3_36,B3_,0.301,0.678,recruit,B,original,past,B
55,B3_37,B3_,0.317,0.7,recruit,B,original,past,B
56,B3_38,B3_,0.145,0.483,recruit,B,original,past,B
57,B3_39,B3_,0.133,0.461,recruit,B,original,past,B
58,B3_45,B3_,0.073,0.331,recruit,B,original,past,B
59,B3_46,B3_,0.069,0.339,recruit,B,original,past,B
60,B3_47,B3_,0.092,0.391,recruit,B,original,past,B
61,B3_48,B3_,0.069,0.321,recruit,B,original,past,B
62,B3_49,B3_,0.162,0.529,recruit,B,new,past,B
63,B4_39,B4_,0.077,0.368,recruit,B,original,past,B
64,B4_41,B4_,0.059,0.319,recruit,B,original,past,B
65,B4_43,B4_,0.101,0.397,recruit,B,original,past,B
66,B4_44,B4_,0.108,0.432,recruit,B,original,past,B
67,D1_19,D1_,0.144,0.484,recruit,D,original,past,D
68,D1_20,D1_,0.078,0.342,recruit,D,original,past,D
69,D1_21,D1_,0.113,0.455,recruit,D,original,past,D
70,D1_22,D1_,0.107,0.414,recruit,D,new,past,D
71,D4_11,D4_,0.185,0.573,recruit,D,original,past,D
