quadOriginal,quad,time,dates,ini.date,fin.date,elap.yr,site,ID,ini.area,ini.perim,ini.feret,ini.notes,fin.area,fin.perim,fin.feret,fin.notes,tran,survival,ini.areaLN,fin.areaLN
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_1,0.759,3.176,1.084,NA,0.894,3.447,1.167,,A,1,-0.275753502,-0.112049504
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_3,0.694,3.094,1.127,NA,0.779,3.225,1.139,,A,1,-0.365283318,-0.249744233
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_4,0.596,2.812,0.939,NA,0.637,2.906,1,,A,1,-0.517514612,-0.450985623
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_5,0.636,2.919,1.013,NA,0.56,2.774,1.008,angle,A,1,-0.452556716,-0.579818495
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_6,0.677,3.022,1.057,NA,0.944,3.55,1.2,,A,1,-0.390084006,-0.057629113
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_7,0.504,2.591,0.886,NA,0.73,3.122,1.039,,A,1,-0.685179011,-0.314710745
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_10,0.925,3.492,1.171,NA,0.866,3.397,1.138,,A,1,-0.077961541,-0.14387037
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_11,0.412,2.33,0.789,NA,0.697,3.054,1.058,,A,1,-0.88673193,-0.360969868
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_12,0.379,2.284,0.785,NA,0.631,2.912,1.015,,A,1,-0.970219074,-0.460449416
A3_,A,past,22feb69_6jan72,22-Feb-69,6-Jan-72,2.87,SC,A3_13,0.127,1.308,0.456,NA,0.001,0.673,0.332,gone,A,0,-2.063568193,-6.907755279
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_1,0.407,2.321,0.771,NA,0.487,2.578,0.902,angle,B,1,-0.898942094,-0.719491156
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_2,0.702,3.058,1.051,NA,0.642,2.926,1.036,,B,1,-0.353821875,-0.443166975
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_3,0.312,2.035,0.677,NA,0.316,2.062,0.715,,B,1,-1.164752091,-1.152013065
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_5,0.76,3.19,1.089,NA,0.763,3.221,1.135,,B,1,-0.274436846,-0.270497248
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_6,0.261,1.867,0.62,NA,0.321,2.059,0.682,,B,1,-1.343234872,-1.136314156
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_7,1.669,4.708,1.603,NA,1.574,4.624,1.577,,B,1,0.512224645,0.45362015
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_9,0.175,1.52,0.532,NA,0.394,2.286,0.791,,B,1,-1.742969305,-0.93140437
