,surv.int,surv.slope,embryo.int,embryo.slope,embryo.sd,recruit.size.mean,recruit.size.sd,estab.prob.mean,estab.prob.sd,growth.int,growth.slope,growth.sd
Baseline,1.710636113,0.448891116,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
Survival_intercept,1.539572502,0.448891116,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
Survival_slope,1.710636113,0.404002004,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
Embryo_intercept,1.710636113,0.448891116,-17.918692,41.61385396,0.27033723,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
Embryo_slope,1.710636113,0.448891116,-16.28972,37.45246856,0.27033723,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
RecruitSize,1.710636113,0.448891116,-16.28972,41.61385396,0.3003747,0.1425375,0.078853267,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
EstabProb,1.710636113,0.448891116,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.06634792,0.068044393,0.205564803,0.779281861,0.112296757
Growth_intercept,1.710636113,0.448891116,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.073719911,0.075604881,0.185008323,0.779281861,0.101067081
Growth_slope,1.710636113,0.448891116,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.701353675,0.101067081
Survival_IS,1.539572502,0.404002004,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
Embryo_IS,1.710636113,0.448891116,-17.918692,37.45246856,0.27033723,0.158375,0.087614742,0.073719911,0.075604881,0.205564803,0.779281861,0.112296757
Growth_IS,1.710636113,0.448891116,-16.28972,41.61385396,0.3003747,0.158375,0.087614742,0.073719911,0.075604881,0.185008323,0.701353675,0.101067081
