"","orig.order","quad1","quad","time","dates","ini.date","fin.date","elap.yr","site","coral","ID","Coral","ini.area","ini.perim","ini.feret","ini.notes","Coral.1","fin.area","fin.perim","fin.feret","fin.notes","tran","ini.areaLN","fin.areaLN"
"1",1,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",1,"A1",1,0.759,3.176,1.084,"",1,0.894,3.447,1.167,"","A",-0.275753501586507,-0.112049503808623
"2",2,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",2,"A2",2,0.616,2.878,1.001,"",2,0.6,2.861,0.987,"overgrown","A",-0.484508315448617,-0.510825623765991
"3",3,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",3,"A3",3,0.694,3.094,1.127,"",3,0.779,3.225,1.139,"","A",-0.365283318475333,-0.249744233111389
"4",4,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",4,"A4",4,0.596,2.812,0.939,"",4,0.637,2.906,1,"","A",-0.517514611916787,-0.450985623409974
"5",5,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",5,"A5",5,0.636,2.919,1.013,"",5,0.56,2.774,1.008,"angle","A",-0.452556715642015,-0.579818495252942
"6",6,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",6,"A6",6,0.677,3.022,1.057,"",6,0.944,3.55,1.2,"","A",-0.390084006069862,-0.0576291128366364
"7",7,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",7,"A7",7,0.504,2.591,0.886,"",7,0.73,3.122,1.039,"","A",-0.685179010910768,-0.3147107448397
"8",8,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",8,"A8",8,0.727,3.169,1.142,"",8,0.004,0.498,0.246,"nv","A",-0.318828801448618,-5.52146091786225
"9",9,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",9,"A9",9,0.597,2.861,1.021,"",9,0.004,0.498,0.246,"nv","A",-0.515838165589535,-5.52146091786225
"10",10,"A3_","A","past","22feb69_6jan72","22-Feb-69","6-Jan-72",2.87,"SC",10,"A10",10,0.925,3.492,1.171,"",10,0.866,3.397,1.138,"","A",-0.0779615414697118,-0.143870370419702
